command,mean,stddev,median,user,system,min,max
./main < ./580000.txt,0.16540766081000002,0.003673943591990941,0.16478917330000004,0.15922720999999995,0.006222936599999999,0.16103276330000002,0.1890919923
./main < ./41000.txt,0.010401974862753032,0.002383750965532805,0.0100124633,0.009902616680161938,0.0010089590283400807,0.0078396173,0.0187436073
./main < ./71000.txt,0.01569921060666667,0.0002324301224745395,0.0156640403,0.015161066666666662,0.0010580555999999996,0.015483995300000001,0.0180250333
./main < ./430000.txt,0.10451546068,0.000980745311364654,0.10446126080000001,0.09977061,0.004768762400000001,0.10253594830000001,0.1081528283
./main < ./980.txt,0.005439999109318497,0.002474032038841527,0.0066250763,0.0035941984422809435,0.0022031805285118214,0,0.0078042773000000015
./main < ./380.txt,0.0055755566500000015,0.002171565216291022,0.006266413800000001,0.003309101221374045,0.002541024122137404,0,0.007434070300000001
./main < ./86000.txt,0.019298463760317457,0.00018084035068051174,0.0192511188,0.018266337777777777,0.0014846768253968254,0.0190693643,0.020233896300000002
./main < ./3000.txt,0.006480279578025034,0.0030574382794017058,0.0081373803,0.004681631655076488,0.0021224356328233677,0,0.009635040300000002
./main < ./180.txt,0.005336250659956711,0.0019493580230561416,0.0060966618,0.003203762597402599,0.0023930118181818166,0,0.0071176323
./main < ./8700.txt,0.008890307337837836,0.004444832264376879,0.0118496713,0.00733774421621622,0.0018881834594594595,0.0006437163000000004,0.0136265803
./main < ./15.txt,0.00489154070728643,0.002062036032593971,0.0059719288,0.003083663417085427,0.0021133310552763815,0,0.0070997133
./main < ./520.txt,0.004767532169230769,0.0027206572980877915,0.006309725800000001,0.0030689373426573425,0.0020644546853146846,0,0.0075456083
./main < ./9200.txt,0.009427792123204416,0.00457649833664194,0.0124876163,0.007471371933701655,0.00227397458563536,0.0008427893000000006,0.0131365193
./main < ./860000.txt,0.2705640265400001,0.0018542312339089916,0.2702893998,0.26094297999999994,0.009502510599999996,0.2677678253,0.2795909273
./main < ./55.txt,0.005072704466203066,0.0020935431606881696,0.0060130703,0.0032514935187760727,0.0021006900695410297,0,0.007092619300000001
./main < ./72000.txt,0.016157739879831944,0.0007199750821106323,0.0159276153,0.015353921344537818,0.001279510084033613,0.0157702793,0.0208821073
./main < ./57000.txt,0.014174062958682643,0.001708008857377329,0.0136982343,0.013564158802395202,0.0011147592814371259,0.0122331753,0.0195795803
./main < ./50000.txt,0.012128332112865485,0.0015616516319001004,0.011864565300000001,0.011599407953216371,0.0010000541520467838,0.0106125873,0.0170747793
./main < ./470000.txt,0.12873549523,0.001874932969267733,0.12837845380000001,0.12371851999999996,0.0050630648,0.1262229503,0.13630122630000002
./main < ./960.txt,0.0052619093892906765,0.0024859844042487986,0.0066059643,0.003610920000000002,0.0020321506815020865,0,0.0078695423
./main < ./1000000.txt,0.3230083390900001,0.001968311997580717,0.3227670633,0.31177436999999997,0.011106100600000004,0.3187444593,0.3299385303
./main < ./350000.txt,0.08897939472000006,0.0009116370836408954,0.08881704530000001,0.08541753,0.003723462599999999,0.0875855853,0.09185914830000001
